Qext,Qsca,Qabs
2.820156268,1.287965553,1.532190714
2.819961752,1.288034983,1.531926768
2.819766376,1.288105359,1.531661017
2.819570008,1.288176651,1.531393358
2.819372518,1.288248829,1.531123689
2.819173776,1.288321862,1.530851914
2.818973652,1.288395718,1.530577934
2.818772018,1.288470361,1.530301657
2.818568748,1.288545756,1.530022992
2.818363717,1.288621868,1.529741849
2.818156801,1.288698657,1.529458144
2.817947877,1.288776085,1.529171791
2.817736824,1.288854112,1.528882711
2.817523524,1.288932698,1.528590826
2.817307859,1.289011798,1.52829606
2.817089715,1.289091372,1.527998342
2.816868977,1.289171376,1.527697602
2.816645537,1.289251764,1.527393773
2.816419283,1.289332492,1.527086791
2.816190111,1.289413514,1.526776597
2.815957915,1.289494782,1.526463133
2.815722595,1.289576251,1.526146344
2.815484051,1.289657873,1.525826179
2.815242187,1.289739598,1.525502589
2.814996909,1.28982138,1.525175529
2.814748126,1.289903169,1.524844957
2.81449575,1.289984916,1.524510834
2.814239696,1.290066571,1.524173124
2.81397988,1.290148086,1.523831794
2.813716224,1.29022941,1.523486814
2.813448651,1.290310493,1.523138159
2.813177089,1.290391286,1.522785803
2.812901466,1.290471738,1.522429728
2.812621716,1.290551801,1.522069915
2.812337775,1.290631424,1.521706351
2.812049582,1.290710557,1.521339025
2.811757081,1.290789152,1.520967929
2.811460217,1.290867159,1.520593058
2.81115894,1.29094453,1.52021441
2.810853202,1.291021216,1.519831986
2.810542959,1.291097168,1.519445791
2.810228171,1.291172341,1.519055831
2.809908801,1.291246685,1.518662116
2.809584815,1.291320155,1.51826466
2.809256183,1.291392704,1.517863479
2.808922877,1.291464287,1.51745859
2.808584874,1.291534859,1.517050015
2.808242155,1.291604376,1.516637779
2.807894702,1.291672794,1.516221907
2.807542502,1.291740071,1.515802431
2.807185545,1.291806164,1.515379381
2.806823825,1.291871032,1.514952793
2.806457338,1.291934635,1.514522703
2.806086085,1.291996933,1.514089152
2.805710069,1.292057888,1.513652181
