,Bscat,Time,Denuder
695,11.38,11:00,Yes
696,16.97,11:00,Yes
697,6.28,11:00,Yes
698,12.76,11:00,Yes
699,18.83,11:00,Yes
700,14.97,11:00,Yes
701,5.34,11:00,Yes
702,3.89,11:00,Yes
703,14.53,11:00,Yes
704,3.68,11:00,Yes
705,4.98,11:00,Yes
706,60.37,11:00,Yes
707,17.24,11:00,Yes
708,7.13,11:00,Yes
709,8.44,11:00,Yes
710,32.71,11:00,Yes
711,13.67,11:00,Yes
712,36.87,11:00,Yes
713,1.7,11:00,Yes
714,45.6,11:00,Yes
715,23.05,11:00,Yes
716,13.18,11:00,Yes
717,33.24,11:00,Yes
718,13.3,11:00,Yes
719,23.43,11:00,Yes
720,4.35,11:00,Yes
721,26.59,11:00,Yes
722,68.35,11:00,Yes
723,37.06,11:00,Yes
724,24.7,11:00,Yes
725,7.91,11:00,Yes
726,13.57,11:00,Yes
727,19.38,11:00,Yes
728,24.95,11:00,Yes
729,5.37,11:00,Yes
730,5.17,11:00,Yes
731,7.21,11:00,Yes
732,7.01,11:00,Yes
733,172.91,11:00,Yes
734,8.13,11:00,Yes
735,2.4,11:00,Yes
736,4.67,11:00,Yes
737,7.08,11:00,Yes
738,27.8,11:00,Yes
739,14.44,11:00,Yes
740,32.61,11:00,Yes
741,18.06,11:00,Yes
742,16.27,11:00,Yes
743,5.17,11:00,Yes
744,8.06,11:00,Yes
745,10.24,11:00,Yes
746,17.47,11:00,Yes
747,45.83,11:00,Yes
748,5.49,11:00,Yes
749,12.34,11:00,Yes
750,40.2,11:00,Yes
751,23.01,11:00,Yes
752,18.86,11:00,Yes
753,30.92,11:00,Yes
754,34.44,11:00,Yes
755,21.8,11:00,Yes
756,7.26,11:00,Yes
757,18.76,11:00,Yes
758,6.95,11:00,Yes
759,13.39,11:00,Yes
760,27.95,11:00,Yes
761,41.95,11:00,Yes
762,9.54,11:00,Yes
763,12.74,11:00,Yes
764,8.45,11:00,Yes
765,12.54,11:00,Yes
766,102.32,11:00,Yes
767,6.73,11:00,Yes
768,11.6,11:00,Yes
769,12.4,11:00,Yes
770,16.41,11:00,Yes
771,14.77,11:00,Yes
772,8.3,11:00,Yes
773,3.28,11:00,Yes
774,12.32,11:00,Yes
775,11.93,11:00,Yes
776,16.69,11:00,Yes
777,8.39,11:00,Yes
778,28.2,11:00,Yes
779,9.01,11:00,Yes
780,4.75,11:00,Yes
781,4.39,11:00,Yes
782,11.53,11:00,Yes
783,8.49,11:00,Yes
784,6.02,11:00,Yes
785,6.58,11:00,Yes
786,30.73,11:00,Yes
787,22.4,11:00,Yes
788,26.42,11:00,Yes
789,11,11:00,Yes
790,13.38,11:00,Yes
791,6.22,11:00,Yes
792,12.87,11:00,Yes
793,16.74,11:00,Yes
794,6.06,11:00,Yes
795,8.74,11:00,Yes
796,14.64,11:00,Yes
797,11.06,11:00,Yes
798,11.02,11:00,Yes
799,14.15,11:00,Yes
800,21.17,11:00,Yes
801,30.49,11:00,Yes
802,5.58,11:00,Yes
803,8.37,11:00,Yes
804,63.95,11:00,Yes
805,25.82,11:00,Yes
806,11.09,11:00,Yes
807,9.55,11:00,Yes
808,3.36,11:00,Yes
809,28.53,11:00,Yes
810,33.51,11:00,Yes
811,10.19,11:00,Yes
812,11.86,11:00,Yes
813,31.93,11:00,Yes
814,13.19,11:00,Yes
815,69.14,11:00,Yes
816,55.31,11:00,Yes
817,15.3,11:00,Yes
818,44.7,11:00,Yes
819,11.56,11:00,Yes
820,5.89,11:00,Yes
821,26.91,11:00,Yes
822,7.39,11:00,Yes
823,12.2,11:00,Yes
824,8.49,11:00,Yes
825,24.61,11:00,Yes
826,11.13,11:00,Yes
827,11.15,11:00,Yes
828,9.21,11:00,Yes
829,3.94,11:00,Yes
830,9.55,11:00,Yes
831,10.04,11:00,Yes
832,12.15,11:00,Yes
833,18.09,11:00,Yes
834,25.12,11:00,Yes
835,18.41,11:00,Yes
836,22.85,11:00,Yes
837,9.93,11:00,Yes
838,12.49,11:00,Yes
839,10.82,11:00,Yes
840,33.44,11:00,Yes
841,10.12,11:00,Yes
842,19.51,11:00,Yes
843,17.76,11:00,Yes
844,14.22,11:00,Yes
845,9.68,11:00,Yes
846,11.81,11:00,Yes
847,5.74,11:00,Yes
848,21.79,11:00,Yes
849,28.54,11:00,Yes
850,24.85,11:00,Yes
851,67.02,11:00,Yes
852,40.5,11:00,Yes
853,12.84,11:00,Yes
854,13.24,11:00,Yes
855,6.74,11:00,Yes
856,5.57,11:00,Yes
857,12.66,11:00,Yes
858,8.11,11:00,Yes
859,12.23,11:00,Yes
860,9.57,11:00,Yes
861,18.18,11:00,Yes
862,10.36,11:00,Yes
863,10.02,11:00,Yes
864,52.34,11:00,Yes
865,30.34,11:00,Yes
866,11.61,11:00,Yes
867,8.02,11:00,Yes
868,15.26,11:00,Yes
869,17.58,11:00,Yes
870,17,11:00,Yes
871,12.44,11:00,Yes
872,16.4,11:00,Yes
873,7.63,11:00,Yes
874,13.61,11:00,Yes
875,18.98,11:00,Yes
876,5.85,11:00,Yes
877,21.54,11:00,Yes
878,16.66,11:00,Yes
879,15.2,11:00,Yes
880,12.42,11:00,Yes
881,25.89,11:00,Yes
882,17.99,11:00,Yes
883,23.51,11:00,Yes
884,28.85,11:00,Yes
885,9.02,11:00,Yes
886,7.51,11:00,Yes
887,31.17,11:00,Yes
888,21.56,11:00,Yes
889,65.31,11:00,Yes
890,27.48,11:00,Yes
891,11.63,11:00,Yes
892,13.06,11:00,Yes
893,17.48,11:00,Yes
894,39.66,11:00,Yes
895,7.55,11:00,Yes
896,35.03,11:00,Yes
897,8.36,11:00,Yes
898,8.22,11:00,Yes
899,27.16,11:00,Yes
900,14.89,11:00,Yes
901,38.8,11:00,Yes
902,18.61,11:00,Yes
903,10.23,11:00,Yes
904,23.12,11:00,Yes
905,24.73,11:00,Yes
906,33.96,11:00,Yes
907,11.74,11:00,Yes
908,8.67,11:00,Yes
909,60.76,11:00,Yes
910,39.01,11:00,Yes
911,17.09,11:00,Yes
912,8.43,11:00,Yes
913,10.43,11:00,Yes
914,60.03,11:00,Yes
915,45.24,11:00,Yes
916,23.4,11:00,Yes
917,29.51,11:00,Yes
918,33.63,11:00,Yes
919,24.93,11:00,Yes
920,18.55,11:00,Yes
921,21.2,11:00,Yes
922,18.05,11:00,Yes
923,19.94,11:00,Yes
924,4.65,11:00,Yes
925,42.02,11:00,Yes
926,9.51,11:00,Yes
927,13.82,11:00,Yes
928,27.96,11:00,Yes
929,11.09,11:00,Yes
930,7,11:00,Yes
931,25.11,11:00,Yes
932,7.81,11:00,Yes
933,9.43,11:00,Yes
934,7.38,11:00,Yes
935,6.92,11:00,Yes
936,10.45,11:00,Yes
937,14.52,11:00,Yes
938,13.88,11:00,Yes
939,37.86,11:00,Yes
940,16.58,11:00,Yes
941,69.23,11:00,Yes
942,14.18,11:00,Yes
943,9.29,11:00,Yes
944,11.82,11:00,Yes
945,11.29,11:00,Yes
946,8.24,11:00,Yes
947,12.94,11:00,Yes
948,13.12,11:00,Yes
949,20.28,11:00,Yes
950,9.76,11:00,Yes
951,44.08,11:00,Yes
952,11.54,11:00,Yes
953,46.42,11:00,Yes
954,16.74,11:00,Yes
955,10.52,11:00,Yes
956,16.91,11:00,Yes
957,35.49,11:00,Yes
958,10.96,11:00,Yes
959,26.18,11:00,Yes
960,69.57,11:00,Yes
961,16.56,11:00,Yes
962,41,11:00,Yes
963,14.73,11:00,Yes
964,22.76,11:00,Yes
965,20.11,11:00,Yes
966,10.45,11:00,Yes
967,9.72,11:00,Yes
968,8.62,11:00,Yes
969,10.14,11:00,Yes
970,6.65,11:00,Yes
971,9.7,11:00,Yes
972,5.99,11:00,Yes
973,20.14,11:00,Yes
974,9.05,11:00,Yes
975,20.23,11:00,Yes
976,8.76,11:00,Yes
977,15.38,11:00,Yes
978,8.97,11:00,Yes
979,21.49,11:00,Yes
980,18.59,11:00,Yes
981,8.5,11:00,Yes
982,13.76,11:00,Yes
983,25.36,11:00,Yes
984,23.26,11:00,Yes
985,9.19,11:00,Yes
986,7.93,11:00,Yes
987,9.81,11:00,Yes
988,8.55,11:00,Yes
989,36.39,11:00,Yes
990,9.91,11:00,Yes
991,8.09,11:00,Yes
