11:00,11:35,12:15,12:50,1:25,2:00
8.70,2.52,-3.50,7.55E+00,3.42E+00,-5.90E+00
11.25,-1.57,3.52,9.38E-01,3.53E+00,-1.01E+01
6.30,2.47,-5.61,2.47E+00,9.46E+00,-7.99E+00
5.79,5.57,2.84,3.96E+00,-1.98E+00,-7.13E+00
7.67,3.19,5.12,1.49E+00,5.49E+00,-9.78E+00
8.39,0.09,3.86,2.17E+00,7.61E+00,-6.32E+00
5.97,2.49,1.10,5.94E+00,-1.12E+00,-6.03E+00
9.26,1.02,1.28,9.57E-01,-1.52E+00,-1.12E+01
-3.05,5.48,-4.24,-2.80E+00,-1.85E+00,-5.61E+00
2.52,0.97,0.27,-1.88E+00,2.80E-01,-3.96E+00
1.59,1.94,5.01,3.28E+00,5.01E+00,-7.78E+00
1.14,-0.79,4.10,8.34E-01,-1.30E-01,-1.11E+01
-0.86,6.94,1.07,2.66E+00,4.54E+00,-5.78E+00
4.55,3.79,0.91,2.22E+00,-3.54E-01,-8.19E+00
-5.48,4.33,-0.83,3.25E+00,1.80E+00,-5.91E+00
1.43,3.03,2.07,-1.64E+00,2.70E-02,-8.47E+00
3.69,10.49,-0.93,7.27E-01,-1.86E+00,-1.22E+00
5.47,4.66,9.21,-8.97E-01,8.40E+00,-4.57E+00
4.05,8.59,3.23,-3.85E+00,5.16E+00,-6.27E+00
8.51,3.46,1.52,-6.66E+00,-1.32E+00,-7.13E+00
0.20,1.71,1.74,-2.20E+00,-8.16E-01,-6.41E+00
0.21,-2.89,1.06,-6.40E-02,1.34E+00,-8.89E+00
6.94,6.29,-3.67,1.10E+00,7.34E+00,-7.13E+00
12.17,1.94,-1.60,-4.05E+00,-1.06E+00,-9.96E+00
3.57,-0.08,6.97,-6.09E+00,-1.50E+00,-6.72E+00
3.51,6.13,-0.56,6.28E-02,-1.60E+00,-1.01E+01
9.45,5.96,0.62,-3.54E+00,4.33E+00,-1.12E+01
8.60,4.34,-3.99,1.94E+00,-1.60E+00,-9.03E+00
-1.57,7.23,0.72,1.82E+00,6.85E+00,-8.55E+00
-0.08,6.55,-2.32,1.06E+00,5.31E-01,-4.94E+00
-2.42,14.91,-4.34,3.60E+00,4.29E+00,-9.47E+00
4.72,13.50,1.25,7.67E+00,-4.07E+00,-3.01E+00
13.47,10.66,-1.03,-1.20E+00,-2.28E+00,-4.47E+00
7.57,11.86,-3.99,-1.50E+00,2.15E+00,-8.26E+00
2.20,9.97,-2.52,-2.59E+00,1.17E+00,-4.80E+00
-1.72,9.81,0.13,-5.65E+00,6.18E-01,-7.90E+00
0.57,4.87,2.55,-2.81E+00,2.49E+00,-6.35E+00
1.11,11.50,-5.18,2.85E+00,5.07E+00,-9.64E+00
3.79,7.35,-2.67,1.22E+00,3.74E+00,-3.14E+00
3.44,8.65,-7.54,6.26E-01,4.13E-01,-5.95E+00
4.96,6.05,-5.74,-4.48E+00,4.92E+00,-2.68E+00
3.82,7.79,-2.59,-7.54E-01,8.70E+00,-5.40E+00
-3.25,7.35,-4.18,-3.06E+00,2.98E+00,-4.40E+00
2.86,3.43,-2.42,1.98E+00,4.95E+00,-6.58E+00
-0.60,7.26,-6.53,3.56E+00,5.88E-01,-1.84E+00
2.57,2.49,-2.75,7.06E-02,8.06E-01,-3.87E+00
4.59,-0.08,-1.37,5.93E-01,5.57E+00,-9.04E+00
1.99,4.62,-4.70,-5.00E+00,1.21E+00,-2.72E-01
-4.48,4.30,-3.66,-3.23E+00,-3.97E-01,-5.57E+00
-0.95,3.05,-0.39,-3.75E+00,4.16E+00,-6.40E+00
1.49,6.97,4.89,4.05E+00,-1.98E+00,-6.51E+00
-2.10,6.71,-8.40,8.84E-01,-6.93E-01,-6.38E+00
-0.41,6.73,1.56,4.54E+00,8.24E+00,-8.13E+00
0.84,3.57,-3.56,2.24E+00,1.98E+00,-8.82E+00
-2.08,1.72,-2.09,1.96E+00,-6.95E+00,-9.71E+00
-4.06,4.79,-2.73,2.77E+00,9.14E-01,-8.46E+00
1.60,5.32,1.16,-3.16E-02,1.64E+00,4.45E+00
-0.79,1.42,-3.16,4.95E-01,5.45E+00,-1.52E+01
2.31,5.23,1.89,1.25E+00,2.74E+00,-1.18E+01
-1.99,-0.34,1.43,2.69E+00,2.80E+00,-9.47E+00
-2.58,2.80,-1.19,3.48E+00,-6.02E-01,-5.25E+00
0.42,3.08,-2.04,1.59E+00,-1.46E+00,-5.12E+00
-4.81,9.24,-0.88,3.93E+00,6.28E+00,-4.01E+00
-1.86,-1.18,-0.99,7.63E+00,4.15E+00,-2.08E+00
0.61,-0.38,-0.56,6.56E+00,9.95E-01,-8.21E+00
-0.65,-1.36,-4.13,-6.30E-01,-2.91E+00,-1.09E+00
-0.38,4.89,-4.74,-2.14E+00,-3.23E+00,-9.35E+00
-2.59,2.10,-2.89,-1.48E+00,2.31E+00,-4.24E+00
3.37,2.31,2.95,1.46E+00,4.65E+00,-7.04E-01
1.72,2.62,-8.27,3.92E+00,5.88E+00,-8.10E+00
-4.21,-0.62,-4.62,3.85E-01,2.02E+00,-2.59E+00
0.19,0.45,-3.92,-8.70E-02,6.41E+00,-3.94E+00
2.09,2.72,-1.14,8.12E+00,-2.12E-01,-9.56E+00
-3.24,4.52,-2.42,2.27E-01,1.98E+00,-1.60E+00
-0.97,2.97,-1.27,-1.35E+00,7.62E+00,-4.52E+00
3.82,3.71,-0.09,1.95E+00,4.89E+00,-2.28E+00
1.19,3.92,-1.69,3.30E+00,3.60E+00,-3.53E+00
2.23,1.52,-1.67,6.00E+00,9.62E-01,-7.15E+00
-2.67,13.53,-8.05,5.67E+00,5.45E+00,-8.30E+00
1.67,4.55,-6.54,4.76E+00,8.53E+00,-5.72E+00
-2.53,0.27,-6.51,-2.63E+00,6.92E+00,-4.88E+00
-6.40,8.35,-6.40,-7.97E-01,9.70E-01,-1.19E+01
-4.79,-0.18,1.45,3.84E+00,5.99E+00,-6.87E+00
-3.29,5.23,-2.89,1.87E+00,9.24E+00,-7.16E+00
-1.55,2.18,-3.06,-1.36E+00,5.94E+00,-9.18E+00
-5.65,-0.09,-0.88,-1.48E+00,2.27E-01,-1.15E+01
-3.27,7.46,-3.26,7.07E-02,6.35E+00,-6.86E+00
-2.31,6.78,-7.15,-4.03E+00,4.41E+00,-4.28E+00
-2.70,3.02,0.68,2.89E+00,-2.63E+00,-7.60E+00
0.90,8.52,-4.29,-2.42E+00,-2.32E-01,-5.12E+00
-5.83,2.31,-6.31,-5.30E+00,3.20E+00,-5.57E+00
2.01,6.57,-0.27,7.46E+00,6.03E-01,-3.03E+00
-9.62,8.14,-4.39,-6.63E-01,6.72E+00,-1.18E+01
-2.49,2.98,1.28,3.63E+00,2.89E+00,-1.02E+01
-2.63,3.89,-1.48,-3.12E+00,6.39E+00,-5.06E+00
