,Bext,Time,Denuder
665,9.48E+00,11:00,Yes
666,2.64E+01,11:00,Yes
667,1.06E+01,11:00,Yes
668,7.91E+01,11:00,Yes
669,1.45E+01,11:00,Yes
670,2.69E+01,11:00,Yes
671,7.66E+00,11:00,Yes
672,4.75E+01,11:00,Yes
673,1.36E+01,11:00,Yes
674,5.06E+00,11:00,Yes
675,1.07E+01,11:00,Yes
676,6.84E+00,11:00,Yes
677,4.48E-01,11:00,Yes
678,6.44E+00,11:00,Yes
679,1.05E+01,11:00,Yes
680,1.88E+01,11:00,Yes
681,2.50E+01,11:00,Yes
682,7.19E+00,11:00,Yes
683,4.36E+00,11:00,Yes
684,1.89E+01,11:00,Yes
685,5.06E+00,11:00,Yes
686,3.55E+00,11:00,Yes
687,7.44E+00,11:00,Yes
688,1.19E+01,11:00,Yes
689,2.22E+01,11:00,Yes
690,9.97E+00,11:00,Yes
691,3.30E+00,11:00,Yes
692,5.99E+00,11:00,Yes
693,1.10E+01,11:00,Yes
694,5.17E+01,11:00,Yes
695,7.45E+00,11:00,Yes
696,1.45E+01,11:00,Yes
697,7.47E+00,11:00,Yes
698,4.66E+00,11:00,Yes
699,7.80E+00,11:00,Yes
700,1.02E+01,11:00,Yes
701,1.35E+01,11:00,Yes
702,1.86E+01,11:00,Yes
703,5.69E+00,11:00,Yes
704,9.60E+00,11:00,Yes
705,1.14E+00,11:00,Yes
706,1.97E+01,11:00,Yes
707,1.90E+01,11:00,Yes
708,1.53E+01,11:00,Yes
709,1.72E+01,11:00,Yes
710,1.07E+01,11:00,Yes
711,8.87E+00,11:00,Yes
712,1.54E+01,11:00,Yes
713,1.77E+01,11:00,Yes
714,3.87E+01,11:00,Yes
715,1.51E+01,11:00,Yes
716,1.27E+01,11:00,Yes
717,2.35E+01,11:00,Yes
718,3.73E+01,11:00,Yes
719,1.74E+01,11:00,Yes
720,1.19E+01,11:00,Yes
721,1.37E+01,11:00,Yes
722,2.06E+00,11:00,Yes
723,1.31E+01,11:00,Yes
724,8.55E+00,11:00,Yes
725,1.18E+01,11:00,Yes
726,-1.75E-01,11:00,Yes
727,1.15E+01,11:00,Yes
728,5.84E+01,11:00,Yes
729,6.37E+00,11:00,Yes
730,4.77E+00,11:00,Yes
731,2.68E+01,11:00,Yes
732,1.87E+01,11:00,Yes
733,1.52E+01,11:00,Yes
734,1.80E+01,11:00,Yes
735,1.86E+01,11:00,Yes
736,8.91E+00,11:00,Yes
737,1.93E+01,11:00,Yes
738,1.44E+01,11:00,Yes
739,6.31E+00,11:00,Yes
740,1.16E+01,11:00,Yes
741,1.12E+01,11:00,Yes
742,1.37E+01,11:00,Yes
743,1.09E+01,11:00,Yes
744,1.59E+01,11:00,Yes
745,9.92E+00,11:00,Yes
746,8.00E+00,11:00,Yes
747,1.31E+01,11:00,Yes
748,1.96E+01,11:00,Yes
749,1.51E+01,11:00,Yes
750,9.34E+00,11:00,Yes
751,8.43E+00,11:00,Yes
752,1.27E+01,11:00,Yes
753,2.87E+01,11:00,Yes
754,1.53E+01,11:00,Yes
755,2.25E+01,11:00,Yes
756,1.48E+01,11:00,Yes
757,1.06E+01,11:00,Yes
758,5.60E+01,11:00,Yes
759,3.25E+01,11:00,Yes
760,1.34E+01,11:00,Yes
761,9.32E+00,11:00,Yes
762,1.10E+01,11:00,Yes
763,1.17E+01,11:00,Yes
764,4.92E+01,11:00,Yes
765,9.08E+00,11:00,Yes
766,1.71E+01,11:00,Yes
767,1.70E+01,11:00,Yes
768,9.94E+00,11:00,Yes
769,1.00E+01,11:00,Yes
770,3.34E+01,11:00,Yes
771,4.57E+00,11:00,Yes
772,6.82E+00,11:00,Yes
773,1.21E+01,11:00,Yes
774,9.39E+00,11:00,Yes
775,1.40E+01,11:00,Yes
776,1.17E+01,11:00,Yes
777,9.87E+00,11:00,Yes
778,6.15E+00,11:00,Yes
779,1.18E+01,11:00,Yes
780,1.05E+01,11:00,Yes
781,1.50E+01,11:00,Yes
782,2.84E+01,11:00,Yes
783,7.95E+00,11:00,Yes
784,3.64E+01,11:00,Yes
785,3.23E+01,11:00,Yes
786,8.70E+00,11:00,Yes
787,3.11E+01,11:00,Yes
788,7.75E+00,11:00,Yes
789,2.06E+01,11:00,Yes
790,1.35E+01,11:00,Yes
791,1.13E+01,11:00,Yes
792,1.21E+01,11:00,Yes
793,2.34E+00,11:00,Yes
794,6.58E+00,11:00,Yes
795,2.96E+00,11:00,Yes
796,2.32E+01,11:00,Yes
797,9.09E+00,11:00,Yes
798,2.14E+01,11:00,Yes
799,7.65E+00,11:00,Yes
800,1.47E+01,11:00,Yes
801,1.28E+01,11:00,Yes
802,1.19E+01,11:00,Yes
803,1.05E+01,11:00,Yes
804,7.87E+00,11:00,Yes
805,2.37E+01,11:00,Yes
806,1.41E+01,11:00,Yes
807,1.19E+01,11:00,Yes
808,1.55E+01,11:00,Yes
809,5.46E+00,11:00,Yes
810,1.91E+01,11:00,Yes
811,1.86E+01,11:00,Yes
812,4.02E+00,11:00,Yes
813,6.66E+00,11:00,Yes
814,7.99E+00,11:00,Yes
815,6.72E+00,11:00,Yes
816,8.84E+00,11:00,Yes
817,1.18E+01,11:00,Yes
818,1.51E+01,11:00,Yes
