Bscat 	Time 	Denuder 
4.24E+01	11:00	With denuder
1.68E+01	11:00	With denuder
4.70E+00	11:00	With denuder
4.72E+00	11:00	With denuder
2.00E+01	11:00	With denuder
1.12E+01	11:00	With denuder
1.36E+01	11:00	With denuder
1.62E+01	11:00	With denuder
1.91E+01	11:00	With denuder
3.54E+01	11:00	With denuder
1.38E+01	11:00	With denuder
2.63E+01	11:00	With denuder
2.87E+01	11:00	With denuder
8.61E+00	11:00	With denuder
2.28E+01	11:00	With denuder
1.85E+01	11:00	With denuder
1.67E+01	11:00	With denuder
2.09E+01	11:00	With denuder
1.64E+01	11:00	With denuder
3.39E+01	11:00	With denuder
4.39E+01	11:00	With denuder
9.69E+00	11:00	With denuder
4.06E+01	11:00	With denuder
2.12E+01	11:00	With denuder
1.63E+01	11:00	With denuder
1.88E+01	11:00	With denuder
1.31E+01	11:00	With denuder
1.67E+01	11:00	With denuder
4.93E+00	11:00	With denuder
6.57E+00	11:00	With denuder
5.19E+01	11:00	With denuder
1.91E+01	11:00	With denuder
2.11E+01	11:00	With denuder
1.16E+01	11:00	With denuder
7.83E+00	11:00	With denuder
1.51E+01	11:00	With denuder
5.06E+01	11:00	With denuder
1.05E+01	11:00	With denuder
1.94E+01	11:00	With denuder
6.27E+00	11:00	With denuder
4.65E+01	11:00	With denuder
2.95E+01	11:00	With denuder
8.70E+00	11:00	With denuder
3.78E+00	11:00	With denuder
1.89E+01	11:00	With denuder
2.71E+01	11:00	With denuder
1.11E+01	11:00	With denuder
1.02E+01	11:00	With denuder
4.66E+00	11:00	With denuder
3.40E+00	11:00	With denuder
6.74E+00	11:00	With denuder
1.20E+01	11:00	With denuder
8.73E+00	11:00	With denuder
1.31E+01	11:00	With denuder
6.94E+01	11:00	With denuder
2.08E+01	11:00	With denuder
1.42E+01	11:00	With denuder
4.85E+01	11:00	With denuder
7.11E+00	11:00	With denuder
2.11E+00	11:00	With denuder
1.96E+01	11:00	With denuder
3.47E+01	11:00	With denuder
1.59E+01	11:00	With denuder
6.12E+00	11:00	With denuder
1.53E+01	11:00	With denuder
3.14E+01	11:00	With denuder
4.05E+01	11:00	With denuder
9.56E+00	11:00	With denuder
4.02E+00	11:00	With denuder
2.13E+01	11:00	With denuder
2.91E+01	11:00	With denuder
6.59E+01	11:00	With denuder
1.55E+00	11:00	With denuder
4.52E+01	11:00	With denuder
1.07E+02	11:00	With denuder
1.14E+01	11:00	With denuder
1.47E+01	11:00	With denuder
7.99E+00	11:00	With denuder
6.60E+00	11:00	With denuder
2.56E+01	11:00	With denuder
5.07E+00	11:00	With denuder
2.60E+01	11:00	With denuder
1.89E+01	11:00	With denuder
1.29E+01	11:00	With denuder
4.59E+01	11:00	With denuder
3.94E+01	11:00	With denuder
1.12E+01	11:00	With denuder
1.30E+00	11:00	With denuder
1.24E+01	11:00	With denuder
3.82E+01	11:00	With denuder
2.72E+01	11:00	With denuder
1.82E+01	11:00	With denuder
3.05E+01	11:00	With denuder
3.81E+01	11:00	With denuder
2.76E+01	11:00	With denuder
1.27E+01	11:00	With denuder
7.92E+01	11:00	With denuder
1.74E+01	11:00	With denuder
1.34E+01	11:00	With denuder
1.84E+01	11:00	With denuder
2.39E+01	11:00	With denuder
6.88E+00	11:00	With denuder
1.83E+01	11:00	With denuder
7.81E+00	11:00	With denuder
1.03E+01	11:00	With denuder
1.13E+01	11:00	With denuder
9.15E+00	11:00	With denuder
3.86E+01	11:00	With denuder
3.42E+01	11:00	With denuder
1.01E+01	11:00	With denuder
1.73E+01	11:00	With denuder
5.73E+00	11:00	With denuder
4.87E+01	11:00	With denuder
6.91E+00	11:00	With denuder
3.48E+00	11:00	With denuder
-2.16E-01	11:00	With denuder
2.48E+00	11:00	With denuder
5.82E+00	11:00	With denuder
9.28E+00	11:00	With denuder
6.56E+00	11:00	With denuder
1.44E+01	11:00	With denuder
1.58E+01	11:00	With denuder
2.12E+01	11:00	With denuder
1.05E+01	11:00	With denuder
2.71E+01	11:00	With denuder
6.05E+00	11:00	With denuder
8.44E+01	11:00	With denuder
4.41E+01	11:00	With denuder
1.14E+01	11:00	With denuder
4.34E+01	11:00	With denuder
1.05E+01	11:00	With denuder
1.08E+01	11:00	With denuder
7.63E+00	11:00	With denuder
8.72E+00	11:00	With denuder
2.41E+01	11:00	With denuder
8.74E+00	11:00	With denuder
6.60E+00	11:00	With denuder
1.53E+00	11:00	With denuder
2.32E+01	11:00	With denuder
1.12E+01	11:00	With denuder
2.72E+01	11:00	With denuder
2.08E+01	11:00	With denuder
1.35E+01	11:00	With denuder
1.79E+01	11:00	With denuder
1.65E+01	11:00	With denuder
8.90E+00	11:00	With denuder
4.07E+01	11:00	With denuder
1.74E+01	11:00	With denuder
1.18E+01	11:00	With denuder
4.43E+01	11:00	With denuder
9.31E+00	11:00	With denuder
1.38E+01	11:00	With denuder
1.26E+01	11:00	With denuder
2.46E+01	11:00	With denuder
4.64E+00	11:00	With denuder
2.09E+01	11:00	With denuder
9.53E+00	11:00	With denuder
2.39E+01	11:00	With denuder
2.30E+01	11:00	With denuder
2.21E+01	11:00	With denuder
8.09E+00	11:00	With denuder
1.40E+01	11:00	With denuder
1.12E+01	11:00	With denuder
2.48E+01	11:00	With denuder
9.08E+00	11:00	With denuder
6.48E+00	11:00	With denuder
3.41E+01	11:00	With denuder
3.91E+01	11:00	With denuder
1.09E+01	11:00	With denuder
1.07E+01	11:00	With denuder
2.43E+01	11:00	With denuder
4.45E+00	11:00	With denuder
1.05E+01	11:00	With denuder
4.07E+00	11:00	With denuder
6.41E+00	11:00	With denuder
4.68E+00	11:00	With denuder
2.03E+01	11:00	With denuder
1.69E+01	11:00	With denuder
9.41E+00	11:00	With denuder
6.55E+00	11:00	With denuder
2.26E+01	11:00	With denuder
2.29E+01	11:00	With denuder
6.00E+00	11:00	With denuder
3.29E+00	11:00	With denuder
3.86E+00	11:00	With denuder
1.45E+01	11:00	With denuder
2.48E+01	11:00	With denuder
1.20E+01	11:00	With denuder
2.57E+01	11:00	With denuder
2.21E+01	11:00	With denuder
5.46E+00	11:00	With denuder
1.72E+01	11:00	With denuder
4.20E+01	11:00	With denuder
7.43E+00	11:00	With denuder
3.01E+01	11:00	With denuder
1.35E+01	11:00	With denuder
7.34E+00	11:00	With denuder
2.79E+01	11:00	With denuder
3.59E+01	11:00	With denuder
6.68E+00	11:00	With denuder
2.71E+01	11:00	With denuder
2.20E+01	11:00	With denuder
3.35E+01	11:00	With denuder
4.42E+01	11:00	With denuder
1.74E+01	11:00	With denuder
7.02E+00	11:00	With denuder
7.48E+00	11:00	With denuder
2.91E+01	11:00	With denuder
4.17E+01	11:00	With denuder
1.49E+01	11:00	With denuder
4.38E+01	11:00	With denuder
2.13E+01	11:00	With denuder
1.73E+01	11:00	With denuder
1.07E+01	11:00	With denuder
8.27E+00	11:00	With denuder
1.38E+01	11:00	With denuder
3.63E+01	11:00	With denuder
7.52E+00	11:00	With denuder
4.32E+01	11:00	With denuder
1.22E+01	11:00	With denuder
4.77E+00	11:00	With denuder
5.08E+01	11:00	With denuder
4.48E+01	11:00	With denuder
1.13E+01	11:00	With denuder
1.70E+01	11:00	With denuder
9.26E+00	11:00	With denuder
