,Bscat ,Time ,Denuder 
589,4.76E+01,0.46,With denuder
590,2.26E+01,0.46,With denuder
591,1.64E+01,0.46,With denuder
592,5.85E+01,0.46,With denuder
593,8.04E+00,0.46,With denuder
594,7.92E+00,0.46,With denuder
595,8.71E+00,0.46,With denuder
596,4.50E+01,0.46,With denuder
597,7.65E+00,0.46,With denuder
598,1.56E+01,0.46,With denuder
599,1.25E+01,0.46,With denuder
600,1.33E+01,0.46,With denuder
601,1.44E+02,0.46,With denuder
602,3.52E+01,0.46,With denuder
603,1.49E+01,0.46,With denuder
604,1.20E+01,0.46,With denuder
605,7.01E+01,0.46,With denuder
606,7.97E+01,0.46,With denuder
607,5.82E+01,0.46,With denuder
608,1.21E+01,0.46,With denuder
609,7.92E+00,0.46,With denuder
610,2.89E+01,0.46,With denuder
611,2.07E+01,0.46,With denuder
612,8.07E+00,0.46,With denuder
613,4.01E+01,0.46,With denuder
614,8.09E+00,0.46,With denuder
615,6.69E+00,0.46,With denuder
616,1.43E+01,0.46,With denuder
617,1.65E+01,0.46,With denuder
618,1.14E+01,0.46,With denuder
619,1.06E+01,0.46,With denuder
620,1.25E+01,0.46,With denuder
621,2.20E+01,0.46,With denuder
622,2.04E+01,0.46,With denuder
623,1.60E+01,0.46,With denuder
624,1.02E+01,0.46,With denuder
625,1.73E+01,0.46,With denuder
626,2.17E+01,0.46,With denuder
627,3.48E+01,0.46,With denuder
628,5.46E+00,0.46,With denuder
629,3.12E+01,0.46,With denuder
630,2.44E+01,0.46,With denuder
631,2.48E+01,0.46,With denuder
632,6.38E+00,0.46,With denuder
633,2.00E+01,0.46,With denuder
634,3.34E+01,0.46,With denuder
635,7.17E+00,0.46,With denuder
636,3.65E+00,0.46,With denuder
637,2.22E+01,0.46,With denuder
638,2.66E+01,0.46,With denuder
639,2.97E+01,0.46,With denuder
640,1.84E+01,0.46,With denuder
641,2.69E+01,0.46,With denuder
642,2.28E+01,0.46,With denuder
643,4.24E+01,0.46,With denuder
644,1.68E+01,0.46,With denuder
645,4.70E+00,0.46,With denuder
646,4.72E+00,0.46,With denuder
647,2.00E+01,0.46,With denuder
648,1.12E+01,0.46,With denuder
649,1.36E+01,0.46,With denuder
650,1.62E+01,0.46,With denuder
651,1.91E+01,0.46,With denuder
652,3.54E+01,0.46,With denuder
653,1.38E+01,0.46,With denuder
654,2.63E+01,0.46,With denuder
655,2.87E+01,0.46,With denuder
656,8.61E+00,0.46,With denuder
657,2.28E+01,0.46,With denuder
658,1.85E+01,0.46,With denuder
659,1.67E+01,0.46,With denuder
660,2.09E+01,0.46,With denuder
661,1.64E+01,0.46,With denuder
662,3.39E+01,0.46,With denuder
663,4.39E+01,0.46,With denuder
664,9.69E+00,0.46,With denuder
665,4.06E+01,0.46,With denuder
666,2.12E+01,0.46,With denuder
667,1.63E+01,0.46,With denuder
668,1.88E+01,0.46,With denuder
669,1.31E+01,0.46,With denuder
670,1.67E+01,0.46,With denuder
671,4.93E+00,0.46,With denuder
672,6.57E+00,0.46,With denuder
673,5.19E+01,0.46,With denuder
674,1.91E+01,0.46,With denuder
675,2.11E+01,0.46,With denuder
676,1.16E+01,0.46,With denuder
677,7.83E+00,0.46,With denuder
678,1.51E+01,0.46,With denuder
679,5.06E+01,0.46,With denuder
680,1.05E+01,0.46,With denuder
681,1.94E+01,0.46,With denuder
682,6.27E+00,0.46,With denuder
683,4.65E+01,0.46,With denuder
684,2.95E+01,0.46,With denuder
685,8.70E+00,0.46,With denuder
686,3.78E+00,0.46,With denuder
687,1.89E+01,0.46,With denuder
688,2.71E+01,0.46,With denuder
689,1.11E+01,0.46,With denuder
690,1.02E+01,0.46,With denuder
691,4.66E+00,0.46,With denuder
692,3.40E+00,0.46,With denuder
693,6.74E+00,0.46,With denuder
694,1.20E+01,0.46,With denuder
695,8.73E+00,0.46,With denuder
696,1.31E+01,0.46,With denuder
697,6.94E+01,0.46,With denuder
698,2.08E+01,0.46,With denuder
699,1.42E+01,0.46,With denuder
