,Babs,Time,Denuder
634,4.05E+00,11:00,Yes
635,-2.41E+00,11:00,Yes
636,-1.79E+00,11:00,Yes
637,4.17E+00,11:00,Yes
638,-2.40E-01,11:00,Yes
639,2.76E+00,11:00,Yes
640,1.91E-01,11:00,Yes
641,8.15E-01,11:00,Yes
642,2.52E+00,11:00,Yes
643,3.28E+00,11:00,Yes
644,-2.81E+00,11:00,Yes
645,3.23E+00,11:00,Yes
646,-3.44E+00,11:00,Yes
647,-3.42E+00,11:00,Yes
648,-2.74E+00,11:00,Yes
649,2.47E+00,11:00,Yes
650,1.73E-01,11:00,Yes
651,-1.61E+00,11:00,Yes
652,4.55E+00,11:00,Yes
653,-7.02E-01,11:00,Yes
654,5.09E+00,11:00,Yes
655,5.76E+00,11:00,Yes
656,8.39E-01,11:00,Yes
657,5.78E+00,11:00,Yes
658,8.55E+00,11:00,Yes
659,2.44E+00,11:00,Yes
660,3.31E+00,11:00,Yes
661,1.44E+00,11:00,Yes
662,1.40E+00,11:00,Yes
663,-1.77E-02,11:00,Yes
664,1.80E-01,11:00,Yes
665,6.20E+00,11:00,Yes
666,2.31E+00,11:00,Yes
667,2.96E-01,11:00,Yes
668,4.85E+00,11:00,Yes
669,-3.66E-01,11:00,Yes
670,2.32E+00,11:00,Yes
671,6.08E+00,11:00,Yes
672,4.11E+00,11:00,Yes
673,-6.64E-01,11:00,Yes
674,4.69E+00,11:00,Yes
675,1.77E+00,11:00,Yes
676,3.08E+00,11:00,Yes
677,8.98E-01,11:00,Yes
678,5.39E+00,11:00,Yes
679,7.73E+00,11:00,Yes
680,5.24E+00,11:00,Yes
681,8.51E+00,11:00,Yes
682,-6.60E-01,11:00,Yes
683,6.40E+00,11:00,Yes
684,2.77E+00,11:00,Yes
685,5.06E-01,11:00,Yes
686,5.63E+00,11:00,Yes
687,5.70E+00,11:00,Yes
688,1.36E+00,11:00,Yes
689,6.20E+00,11:00,Yes
690,4.67E+00,11:00,Yes
691,3.26E+00,11:00,Yes
692,1.02E+00,11:00,Yes
693,3.48E+00,11:00,Yes
694,8.82E+00,11:00,Yes
695,1.02E-01,11:00,Yes
696,-1.55E+00,11:00,Yes
697,4.91E+00,11:00,Yes
698,-3.33E+00,11:00,Yes
699,-5.94E-01,11:00,Yes
700,4.98E+00,11:00,Yes
701,8.04E+00,11:00,Yes
702,3.30E-01,11:00,Yes
703,3.39E+00,11:00,Yes
704,1.12E+00,11:00,Yes
705,2.05E+00,11:00,Yes
706,3.57E+00,11:00,Yes
707,4.24E+00,11:00,Yes
708,1.13E+00,11:00,Yes
709,2.03E+00,11:00,Yes
710,7.30E+00,11:00,Yes
711,5.30E+00,11:00,Yes
712,3.47E+00,11:00,Yes
713,3.79E+00,11:00,Yes
714,-5.66E-01,11:00,Yes
715,5.10E+00,11:00,Yes
716,5.29E+00,11:00,Yes
717,8.54E+00,11:00,Yes
718,-5.20E-01,11:00,Yes
719,1.88E-01,11:00,Yes
720,3.63E+00,11:00,Yes
721,4.50E+00,11:00,Yes
722,6.35E-01,11:00,Yes
723,4.07E+00,11:00,Yes
724,5.52E+00,11:00,Yes
725,4.14E+00,11:00,Yes
726,2.33E+00,11:00,Yes
727,1.21E+00,11:00,Yes
728,-9.70E-01,11:00,Yes
729,4.71E-01,11:00,Yes
730,2.33E+00,11:00,Yes
731,7.60E+00,11:00,Yes
732,3.56E+00,11:00,Yes
733,6.10E-04,11:00,Yes
