11:00:00 AM,11:35:00 AM,12:16:00 PM,12:51:00 PM,1:26:00 AM,2:00:00 AM
22.54,17.14709,6.16,1.28E+01,1.02E+01,3.14E+00
14.25,15.51538,24.91,9.75E+00,4.05E+01,1.66E+01
13.43,6.395447,15.16,1.87E+01,1.29E+00,2.82E+00
5.65,18.61053,8.13,4.52E+00,-3.76E+00,1.22E+01
8.94,17.04358,7.16,2.12E+01,4.20E+00,4.73E+00
20.98,36.32648,1.54,1.01E+01,-5.77E-01,3.07E+01
16.44,66.40808,-1.24,2.86E+01,-3.12E+00,1.42E+01
36.47,52.63385,-2.22,2.01E+01,1.82E+01,5.49E+00
6.14,32.09741,-0.30,8.92E+00,-2.87E+00,7.28E+00
11.25,33.07092,5.85,9.79E+00,1.52E+01,7.11E+00
2.41,35.30554,4.44,1.81E+01,-5.87E+00,1.90E+00
3.82,26.87744,-4.55,5.47E+00,-8.18E+00,2.06E+00
83.51,20.07861,-0.03,8.68E+01,-3.28E-01,3.35E+00
20.57,29.70612,-2.17,1.03E+01,-1.39E+00,2.38E+01
4.17,7.684204,4.86,2.75E+01,-3.71E+00,6.93E+00
7.83,23.78894,-2.53,1.19E+01,-3.52E+00,5.23E+01
12.28,70.49713,22.75,8.80E+00,4.71E+00,5.03E+01
1.63,164.189,0.20,1.63E+01,2.56E+01,-1.67E-01
6.66,21.21338,0.07,2.53E+01,4.29E+00,6.24E+00
19.30,32.25281,-0.10,1.91E+01,-2.63E+00,4.86E+00
6.94,32.29279,1.99,1.24E+01,-2.81E+00,1.06E+01
7.49,18.99567,4.33,6.61E+00,-3.07E+00,7.35E+00
1.50,8.346985,0.40,5.51E+00,-1.79E+00,7.41E+01
19.22,15.14203,7.19,1.57E+01,3.04E+00,7.28E+01
2.69,12.49854,-2.37,2.37E+01,-1.97E+00,9.60E+00
14.44,7.38385,0.21,1.83E+01,-2.69E+00,-1.35E-01
11.59,19.10864,4.47,2.58E+01,-2.78E-01,-4.06E-01
4.27,24.92279,13.77,2.11E+01,-1.34E-01,2.02E+01
