,Bext,Time,Denuder
495,0.19,11:00,Yes
496,11.37,11:00,Yes
497,38.52,11:00,Yes
498,13.28,11:00,Yes
499,16.65,11:00,Yes
500,27.12,11:00,Yes
501,4.81,11:00,Yes
502,1.88,11:00,Yes
503,11.29,11:00,Yes
504,16.79,11:00,Yes
505,25.97,11:00,Yes
506,4.68,11:00,Yes
507,15.02,11:00,Yes
508,2.64,11:00,Yes
509,4.92,11:00,Yes
510,18.62,11:00,Yes
511,75.32,11:00,Yes
512,14.96,11:00,Yes
513,13.76,11:00,Yes
514,7.58,11:00,Yes
515,3.4,11:00,Yes
516,12.05,11:00,Yes
517,14.19,11:00,Yes
518,8.73,11:00,Yes
519,21.39,11:00,Yes
520,36.15,11:00,Yes
521,124.15,11:00,Yes
522,5.77,11:00,Yes
523,5.85,11:00,Yes
524,13.56,11:00,Yes
525,13.91,11:00,Yes
526,13.04,11:00,Yes
527,22.98,11:00,Yes
528,2.87,11:00,Yes
529,4.52,11:00,Yes
530,27,11:00,Yes
531,5.76,11:00,Yes
532,10.44,11:00,Yes
533,-0.79,11:00,Yes
534,2.49,11:00,Yes
535,1.81,11:00,Yes
536,22.65,11:00,Yes
537,15.13,11:00,Yes
538,13.93,11:00,Yes
539,24.02,11:00,Yes
540,17.4,11:00,Yes
541,3.71,11:00,Yes
542,7.74,11:00,Yes
543,18.81,11:00,Yes
544,27.69,11:00,Yes
545,-1.69,11:00,Yes
546,36.85,11:00,Yes
547,21.81,11:00,Yes
548,4.44,11:00,Yes
549,13.57,11:00,Yes
550,-7.16,11:00,Yes
551,17.33,11:00,Yes
552,23.69,11:00,Yes
553,50.43,11:00,Yes
554,17.04,11:00,Yes
555,-0.71,11:00,Yes
556,22.79,11:00,Yes
557,10.42,11:00,Yes
558,23.01,11:00,Yes
559,10.86,11:00,Yes
560,22.04,11:00,Yes
561,8.58,11:00,Yes
562,1.59,11:00,Yes
563,1.64,11:00,Yes
564,-1.05,11:00,Yes
565,0.29,11:00,Yes
566,8.87,11:00,Yes
567,-0.72,11:00,Yes
568,1.1,11:00,Yes
569,-0.91,11:00,Yes
570,18.23,11:00,Yes
571,-2.88,11:00,Yes
572,-4.13,11:00,Yes
573,-0.11,11:00,Yes
574,19.69,11:00,Yes
575,2.05,11:00,Yes
576,2.73,11:00,Yes
577,3.5,11:00,Yes
578,2.25,11:00,Yes
579,3.39,11:00,Yes
580,7.43,11:00,Yes
581,-8.02,11:00,Yes
582,0.54,11:00,Yes
583,31.73,11:00,Yes
584,1.21,11:00,Yes
585,15.26,11:00,Yes
586,7.25,11:00,Yes
587,15.1,11:00,Yes
588,12.96,11:00,Yes
589,12.38,11:00,Yes
590,37.62,11:00,Yes
591,23.06,11:00,Yes
592,9.62,11:00,Yes
593,10.78,11:00,Yes
594,7.45,11:00,Yes
595,25.36,11:00,Yes
596,9.18,11:00,Yes
597,1.13,11:00,Yes
598,5.06,11:00,Yes
599,12.77,11:00,Yes
600,-6.65,11:00,Yes
601,13.08,11:00,Yes
602,2.94,11:00,Yes
603,16.14,11:00,Yes
604,2.22,11:00,Yes
605,14.96,11:00,Yes
606,2.5,11:00,Yes
607,-4.08,11:00,Yes
608,3.25,11:00,Yes
609,3.63,11:00,Yes
610,-4.29,11:00,Yes
611,2.35,11:00,Yes
612,0.34,11:00,Yes
613,-1.51,11:00,Yes
614,2.4,11:00,Yes
615,7.33,11:00,Yes
616,27.03,11:00,Yes
617,-5.46,11:00,Yes
618,-5.09,11:00,Yes
619,-8.53,11:00,Yes
620,3.41,11:00,Yes
621,-8.05,11:00,Yes
622,59.16,11:00,Yes
623,16.64,11:00,Yes
624,-18.34,11:00,Yes
625,21.51,11:00,Yes
626,-18.67,11:00,Yes
627,-10.07,11:00,Yes
628,-18.47,11:00,Yes
629,-12.49,11:00,Yes
630,9.15,11:00,Yes
631,-11.65,11:00,Yes
632,0.73,11:00,Yes
633,-7.27,11:00,Yes
634,-11.81,11:00,Yes
635,-1.73,11:00,Yes
636,7.14,11:00,Yes
637,-15.34,11:00,Yes
638,-3.53,11:00,Yes
639,-8.45,11:00,Yes
640,-8.08,11:00,Yes
641,-10.95,11:00,Yes
642,-6.55,11:00,Yes
643,28.29,11:00,Yes
644,-8.24,11:00,Yes
645,-14.92,11:00,Yes
646,-11.17,11:00,Yes
647,-14.07,11:00,Yes
648,-9.81,11:00,Yes
649,-3.34,11:00,Yes
650,-18.43,11:00,Yes
651,-5.03,11:00,Yes
652,-6.74,11:00,Yes
653,-1.02,11:00,Yes
654,-10.08,11:00,Yes
655,-6.81,11:00,Yes
656,-5.88,11:00,Yes
657,2.21,11:00,Yes
658,11.02,11:00,Yes
659,-11.97,11:00,Yes
660,-12.82,11:00,Yes
661,12.04,11:00,Yes
662,-4.1,11:00,Yes
663,-6.78,11:00,Yes
664,-11.51,11:00,Yes
665,5.03,11:00,Yes
666,-16.08,11:00,Yes
667,-2.75,11:00,Yes
668,-3.98,11:00,Yes
669,-14.87,11:00,Yes
670,46.17,11:00,Yes
671,-13.74,11:00,Yes
672,2.93,11:00,Yes
673,-18.25,11:00,Yes
674,6.08,11:00,Yes
675,-10.52,11:00,Yes
676,-9.4,11:00,Yes
677,-9.57,11:00,Yes
678,-0.1,11:00,Yes
679,-4.18,11:00,Yes
680,44.34,11:00,Yes
681,82.1,11:00,Yes
682,-11.03,11:00,Yes
683,28.33,11:00,Yes
684,14.56,11:00,Yes
685,-11.36,11:00,Yes
686,-8.95,11:00,Yes
687,-13.42,11:00,Yes
688,-10.85,11:00,Yes
689,-17.85,11:00,Yes
690,-7.11,11:00,Yes
691,2.09,11:00,Yes
692,2.03,11:00,Yes
693,-13.54,11:00,Yes
694,-12.23,11:00,Yes
695,-11.02,11:00,Yes
696,-0.88,11:00,Yes
697,4.23,11:00,Yes
698,-5.41,11:00,Yes
699,-5.15,11:00,Yes
700,0.73,11:00,Yes
701,-0.69,11:00,Yes
