Qext,Qscat,Qabs
2.892050944,1.483150306,1.408900637
2.891684726,1.483385521,1.408299205
2.891315524,1.483618081,1.407697443
2.890943399,1.483847975,1.407095423
2.890568408,1.484075192,1.406493216
2.890190612,1.484299721,1.405890891
2.889810075,1.484521554,1.405288521
2.889426859,1.484740684,1.404686175
2.889041027,1.484957103,1.404083924
2.888652646,1.485170807,1.403481839
2.888261781,1.48538179,1.402879991
2.8878685,1.485590051,1.402278449
2.887472869,1.485795586,1.401677284
2.887074959,1.485998394,1.401076565
2.886674838,1.486198476,1.400476362
2.886272576,1.486395833,1.399876743
2.885868245,1.486590467,1.399277778
2.885461915,1.48678238,1.398679535
2.885053659,1.486971579,1.39808208
2.884643549,1.487158067,1.397485482
2.884231657,1.487341851,1.396889806
2.883818058,1.487522939,1.396295119
2.883402825,1.487701339,1.395701485
2.882986031,1.487877061,1.39510897
2.882567751,1.488050115,1.394517636
2.882148059,1.488220512,1.393927547
2.88172703,1.488388265,1.393338765
2.881304739,1.488553388,1.392751351
2.880881259,1.488715894,1.392165365
2.880456667,1.4888758,1.391580867
2.880031036,1.48903312,1.390997916
2.879604441,1.489187873,1.390416568
2.879176956,1.489340076,1.389836881
2.878748657,1.489489748,1.389258909
2.878319616,1.489636909,1.388682707
2.877889908,1.48978158,1.388108328
2.877459606,1.489923781,1.387535825
2.877028783,1.490063535,1.386965248
2.876597512,1.490200865,1.386396647
2.876165865,1.490335795,1.38583007
2.875733914,1.49046835,1.385265565
2.875301731,1.490598553,1.384703177
2.874869385,1.490726433,1.384142952
2.874436946,1.490852014,1.383584932
2.874004485,1.490975325,1.383029161
2.87357207,1.491096393,1.382475678
2.873139769,1.491215247,1.381924522
2.87270765,1.491331916,1.381375733
2.872275777,1.49144643,1.380829347
2.871844218,1.49155882,1.380285398
2.871413037,1.491669116,1.379743921
2.870982297,1.49177735,1.379204947
2.870552062,1.491883553,1.378668509
2.870122393,1.491987758,1.378134635
2.869693351,1.492089999,1.377603352
2.869264997,1.492190308,1.377074689
2.868837388,1.492288719,1.376548669
2.868410583,1.492385266,1.376025317
2.867984638,1.492479984,1.375504654
2.867559608,1.492572908,1.3749867
2.867135548,1.492664072,1.374471476
2.866712511,1.492753513,1.373958997
2.866290548,1.492841266,1.373449282
2.86586971,1.492927368,1.372942342
2.865450047,1.493011854,1.372438193
2.865031606,1.493094761,1.371936845
2.864614433,1.493176125,1.371438308
2.864198575,1.493255984,1.370942591
2.863784076,1.493334375,1.370449701
2.863370977,1.493411335,1.369959642
2.86295932,1.4934869,1.36947242
2.862549145,1.493561109,1.368988036
2.86214049,1.493633998,1.368506492
2.861733392,1.493705605,1.368027787
2.861327887,1.493775968,1.367551919
2.860924008,1.493845123,1.367078885
2.860521789,1.493913109,1.36660868
2.86012126,1.493979963,1.366141298
2.859722452,1.494045721,1.365676731
2.859325391,1.494110421,1.36521497
2.858930105,1.4941741,1.364756005
2.858536619,1.494236796,1.364299823
2.858144956,1.494298544,1.363846413
2.857755139,1.494359381,1.363395758
2.857367188,1.494419344,1.362947845
2.856981123,1.494478468,1.362502654
2.85659696,1.494536791,1.362060169
2.856214715,1.494594347,1.361620368
2.855834404,1.494651172,1.361183232
2.85545604,1.494707301,1.360748739
2.855079633,1.494762768,1.360316864
2.854705194,1.494817609,1.359887584
2.854332731,1.494871858,1.359460873
2.853962251,1.494925547,1.359036704
2.85359376,1.494978711,1.358615049
2.853227261,1.495031382,1.358195879
2.852862758,1.495083594,1.357779164
2.852500251,1.495135378,1.357364874
2.852139741,1.495186765,1.356952975
2.851781224,1.495237788,1.356543436
2.851424698,1.495288477,1.356136221
2.851070159,1.495338862,1.355731297
2.8507176,1.495388973,1.355328627
2.850367014,1.495438839,1.354928175
2.850018392,1.495488489,1.354529903
